Title,Year,Rating,Genre
Spider-Man: Across the Spider-Verse,2023,8.9,"Animation, Action, Adventure"
Elemental,2023,7.1,"Animation, Adventure, Comedy"
Kimetsu no Yaiba,2019– ,8.7,"Animation, Action, Adventure"
Spider-Man: Into the Spider-Verse,2018,8.4,"Animation, Action, Adventure"
The Super Mario Bros. Movie,2023,7.1,"Animation, Adventure, Comedy"
One Piece: Wan pîsu,1999– ,8.9,"Animation, Action, Adventure"
Vinland Saga,2019– ,8.8,"Animation, Action, Adventure"
Shingeki no Kyojin,2013–2023,9.1,"Animation, Action, Adventure"
Black Clover: Sword of the Wizard King,2023,7.5,"Animation, Action, Adventure"
Rick and Morty,2013– ,9.1,"Animation, Adventure, Comedy"
The Simpsons,1989– ,8.7,"Animation, Comedy"
Human Resources,2022–2023,7.1,"Animation, Comedy, Romance"
"Ruby Gillman, Teenage Kraken",2023,6.0,"Animation, Action, Adventure"
Black Clover,2017–2021,8.3,"Animation, Action, Adventure"
South Park,1997– ,8.7,"Animation, Comedy"
Spider-Man: Beyond the Spider-Verse,2024,N/A,"Animation, Action, Adventure"
Family Guy,1999– ,8.2,"Animation, Comedy"
Avatar: The Last Airbender,2005–2008,9.3,"Animation, Action, Adventure"
"Love, Death & Robots",2019– ,8.4,"Animation, Short, Action"
Skull Island,2023– ,6.7,"Animation, Action, Adventure"
Bluey,2018– ,9.5,"Animation, Family"
Puss in Boots: The Last Wish,2022,7.9,"Animation, Adventure, Comedy"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,N/A,"Animation, Action, Adventure"
Clone High,2023– ,6.7,"Animation, Comedy, Sci-Fi"
Miraculous: Tales of Ladybug & Cat Noir,2015– ,7.6,"Animation, Action, Adventure"
BoJack Horseman,2014–2020,8.8,"Animation, Comedy, Drama"
Arcane: League of Legends,2021– ,9.0,"Animation, Action, Adventure"
Jigokuraku,2023– ,8.4,"Animation, Action, Adventure"
Star Wars: The Clone Wars,2008–2020,8.4,"Animation, Action, Adventure"
Invincible,2021– ,8.7,"Animation, Action, Adventure"
Bob's Burgers,2011– ,8.2,"Animation, Comedy"
Futurama,1999–2023,8.5,"Animation, Adventure, Comedy"
The Little Mermaid,1989,7.6,"Animation, Adventure, Family"
Nimona,2023,7.5,"Animation, Action, Adventure"
Fantastic Mr. Fox,2009,7.9,"Animation, Adventure, Comedy"
SpongeBob SquarePants,1999– ,8.2,"Animation, Comedy, Family"
The Lion King,1994,8.5,"Animation, Adventure, Drama"
Up,2009,8.3,"Animation, Adventure, Comedy"
Cars,2006,7.2,"Animation, Adventure, Comedy"
Naruto,2002–2007,8.4,"Animation, Action, Adventure"
Tengoku daimakyô,2023– ,8.1,"Animation, Adventure, Mystery"
The Incredibles,2004,8.0,"Animation, Action, Adventure"
Sing 2,2021,7.4,"Animation, Adventure, Comedy"
American Dad!,2005– ,7.4,"Animation, Comedy"
Inside Out,I) (2015,8.1,"Animation, Adventure, Comedy"
Encanto,2021,7.2,"Animation, Comedy, Family"
Star Wars: Rebels,2014–2018,8.0,"Animation, Action, Adventure"
Sen to Chihiro no kamikakushi,2001,8.6,"Animation, Adventure, Family"
Jujutsu Kaisen,2020– ,8.5,"Animation, Action, Adventure"
Archer,2009–2023,8.6,"Animation, Action, Comedy"
